seed	score	exe_time
0	23512	0.0000018000000000000001
1	8198	0.0000018000000000000001
2	7378	0.0000018000000000000001
3	8198	0.0000018000000000000001
4	9109	0.0000020000000000000003
5	10121	0.0000019
6	7378	0.0000022
7	7378	0.0000016000000000000001
8	6640	0.0000018000000000000001
9	11245	0.0000016000000000000001
10	6640	0.0000018000000000000001
11	7378	0.0000016000000000000001
12	6640	0.0000020000000000000003
13	6640	0.0000015
14	9109	0.0000015
15	13883	0.0000018000000000000001
16	9109	0.0000014000000000000001
17	9109	0.0000013
18	7378	0.0000016000000000000001
19	8198	0.0000016000000000000001
20	10121	0.0000014000000000000001
21	7378	0.0000016000000000000001
22	6640	0.0000011
23	6640	0.0000014000000000000001
24	8198	0.0000016000000000000001
25	7378	0.0000021000000000000002
26	9109	0.0000013
27	7378	0.0000014000000000000001
28	8198	0.0000026
29	7378	0.0000029
30	8198	0.0000015
31	10121	0.0000020000000000000003
32	10121	0.0000016000000000000001
33	9109	0.0000015
34	12495	0.0000013
35	6640	0.0000017
36	6640	0.0000015
37	12495	0.0000016000000000000001
38	7378	0.0000017
39	8198	0.0000019
40	15426	0.0000016000000000000001
41	10121	0.0000016000000000000001
42	6640	0.0000018000000000000001
43	11245	0.0000012000000000000002
44	6640	0.0000014000000000000001
45	11245	0.0000020000000000000003
46	6640	0.0000014000000000000001
47	6640	0.0000028000000000000003
48	10121	0.0000016000000000000001
49	8198	0.0000016000000000000001
50	8198	0.000006900000000000001
51	7378	0.0000014000000000000001
52	7378	0.0000019
53	11245	0.0000016000000000000001
54	6640	0.0000018000000000000001
55	11245	0.0000015
56	6640	0.0000018000000000000001
57	7378	0.0000017
58	10121	0.0000015
59	6640	0.0000016000000000000001
60	6640	0.0000011
61	13883	0.0000015
62	6640	0.0000015
63	26124	0.0000018000000000000001
64	9109	0.0000019
65	15426	0.0000012000000000000002
66	9109	0.0000013
67	8198	0.0000012000000000000002
68	15426	0.0000016000000000000001
69	9109	0.0000015
70	8198	0.0000016000000000000001
71	8198	0.0000017
72	10121	0.0000013
73	6640	0.0000016000000000000001
74	8198	0.0000015
75	8198	0.0000020000000000000003
76	17140	0.0000015
77	8198	0.0000017
78	8198	0.0000016000000000000001
79	7378	0.0000014000000000000001
80	9109	0.0000011
81	10121	0.0000014000000000000001
82	9109	0.000003
83	7378	0.0000025
84	9109	0.0000016000000000000001
85	11245	0.0000014000000000000001
86	8198	0.0000017
87	6640	0.0000026
88	9109	0.0000017
89	9109	0.0000014000000000000001
90	7378	0.0000016000000000000001
91	10121	0.0000013
92	6640	0.0000014000000000000001
93	8198	0.0000017
94	11245	0.0000015
95	8198	0.0000013
96	6640	0.0000026
97	9109	0.0000018000000000000001
98	10121	0.000004000000000000001
99	7378	0.0000012000000000000002
