seed	score	exe_time
0	599225	4.5059417
1	752289	4.5089834
2	586866	4.522974
3	773269	4.5126947
4	900332	4.5419294
5	833796	4.7002417
6	703246	4.5434555
7	849005	4.5126042
8	721179	4.5054105
9	828971	4.5048656000000005
10	622609	4.5042625
11	720579	4.51965
12	776562	4.5094767000000004
13	788369	4.5436141
14	716698	4.5283826000000005
15	858376	4.6325845
16	680864	4.5078462
17	543936	4.5178421
18	561711	4.5060477
19	887925	4.504027
20	651695	4.5034749000000005
21	731813	4.6105579
22	808836	4.5652042
23	764529	4.5286966
24	839066	4.5194317999999996
25	618213	4.5300558
26	699345	4.5074917
27	658117	4.5174356
28	610010	4.5045784
29	793141	4.5627663
30	743666	4.536381
31	864789	4.5525208
32	744140	4.5315337
33	850386	4.534638
34	884841	4.5409323
35	772900	4.6825684
36	790535	4.6537408
37	655185	4.5025046
38	1132730	4.5550744000000005
39	738269	4.5210289
40	663888	4.5305119000000005
41	681141	4.5687586
42	772400	4.5087614
43	626713	4.513076
44	922043	4.5119075
45	776730	4.5273124
46	762361	4.5310348000000005
47	697905	4.5271172
48	909095	4.5261892
49	809727	4.534097
50	822549	4.5314485
51	676924	4.5061974
52	622595	4.5164944
53	691695	4.5828269
54	743967	4.5133884
55	891004	4.5497237
56	917981	4.5045542
57	841532	4.5321644
58	751485	4.530932
59	684229	4.5301477
60	809182	4.590596
61	870415	4.5194079
62	569588	4.5075066
63	904478	4.5237792
64	719959	4.5043204
65	787613	4.5290416
66	876067	4.5285195
67	836685	4.5933957
68	799953	4.5036372
69	771931	4.6194501
70	670361	4.5918
71	600840	4.5034347
72	656919	4.5101363
73	622761	4.5409736
74	805345	4.5082281
75	664936	4.5323402999999995
76	782183	4.5556841
77	833586	4.5155838
78	704854	4.5317374
79	575784	4.5050101
80	765284	4.5127691
81	773208	4.5033903
82	634426	4.5098671
83	948442	4.6397386
84	769960	4.5090903
85	667204	4.5364905
86	772669	4.6707651
87	878974	4.5313169
88	799463	4.5040404
89	1019330	4.5890125
90	706398	4.5236776
91	783288	4.5051712
92	819532	4.5233547000000005
93	777344	4.5249746
94	687898	4.6016725
95	677153	4.5305983
96	632186	4.5030225999999995
97	742145	4.5056552
98	1148061	4.5110554
99	858853	4.5681957
