seed	score	exe_time
0	4828	2.8235652
1	4982	2.8176357000000003
2	3971	2.8106047
3	3726	2.8124753
4	5155	2.808426
5	5664	2.8129681
6	3931	2.8112346
7	916	2.8133426
8	6426	2.8131974
9	2703	2.8099388000000003
10	4893	2.812668
11	2758	2.8162319
12	5229	2.8303875
13	4560	2.8097491
14	5037	2.8105125
15	4296	2.834116
16	5332	2.8259202
17	4799	2.8206610000000003
18	2187	2.8126153
19	3834	2.8109056
20	5037	2.8093574
21	5602	2.8128466000000003
22	4933	2.8095660000000002
23	2948	2.8096836
24	6906	2.8079105
25	1632	2.8082709
26	2102	2.813015
27	3156	2.8176443
28	5415	2.8124243
29	4987	2.8114051
30	1524	2.8080276
31	2148	2.8318359
32	4901	2.8261059
33	4987	2.8316029
34	1655	2.8225452
35	2812	2.8200925
36	5234	2.8205911
37	1959	2.8114783
38	5301	2.8105568
39	4094	2.8196888
40	5022	2.817318
41	4569	2.8133013
42	4046	2.811867
43	3981	2.8130066
44	6049	2.8142691
45	5370	2.8100775000000002
46	1867	2.8215024
47	3994	2.8232611
48	5059	2.8191115
49	5350	2.8121736999999998
50	4722	2.812494
51	2854	2.8211756
52	5257	2.8163955
53	6089	2.8191637
54	3087	2.8111985
55	1133	2.8128991
56	5278	2.8161394
57	5464	2.8113032000000002
58	4796	2.8087954
59	1042	2.8105461
60	4938	2.8062844
61	1671	2.8099528
62	3590	2.8343491
63	4373	2.8355411
64	6022	2.8271384
65	5458	2.8276844
66	3546	2.8254098
67	2443	2.8213001
68	5436	2.812872
69	5499	2.8116977
70	4819	2.8150367000000003
71	3995	2.8116818
72	5465	2.8164219
73	6470	2.8092109
74	4563	2.8161857
75	2735	2.8129278
76	5242	2.8098849
77	5104	2.8233191
78	4148	2.8098079
79	3911	2.8116248
80	5203	2.8075429
81	4871	2.8099035
82	4238	2.8194184
83	2434	2.8122567
84	5263	2.8107284
85	3225	2.8095479
86	5295	2.8129923
87	1519	2.8137335
88	5059	2.818298
89	5169	2.8139965
90	3071	2.8090195
91	2179	2.811033
92	5791	2.8165009000000003
93	4784	2.8119237
94	1283	2.8114232
95	2725	2.8128253
96	5227	2.813864
97	5185	2.81199
98	3782	2.8116361000000003
99	2779	2.812071
100	5104	2.8108127
101	5049	2.8117835
102	5219	2.8117638
103	2270	2.8115589
104	5037	2.8095502
105	5406	2.8097953
106	3608	2.8096144
107	3385	2.8096842
108	5353	2.8090348
109	3573	2.8090861
110	3427	2.8100363
111	3875	2.8107093
112	5712	2.8102608
113	4410	2.8123665
114	2949	2.8095584000000002
115	3338	2.8118418
116	5191	2.8120274
117	4948	2.8109208
118	3726	2.8113779
119	1627	2.8088501
120	5484	2.8117056
121	5213	2.8094608
122	3891	2.813319
123	3194	2.8120834
124	5057	2.8141371
125	5359	2.8330227
126	4021	2.8305434
127	4329	2.8275593
128	6032	2.8355008
129	6211	2.8341289
130	3853	2.8249883000000002
131	1946	2.8200071
