seed	score	exe_time
0	5392	2.8279447
1	4929	2.8325522000000003
2	4648	2.8284276
3	3306	2.8317901
4	5334	2.8343677
5	4970	2.82985
6	4752	2.8321957
7	870	2.8278099
8	6078	2.8278822
9	1850	2.8101637
10	3692	2.8298535
11	2986	2.8280397
12	5416	2.8307446
13	4886	2.8309734
14	4330	2.8323693
15	4650	2.8284679
16	5512	2.8312951
17	6081	2.8296879
18	3891	2.8246634
19	3343	2.8267944
20	5245	2.8186231
21	4975	2.8356698
22	5100	2.8296474
23	4639	2.8131775
24	6780	2.8103389
25	1391	2.8243001000000003
26	2213	2.8097553
27	2694	2.8116873
28	5495	2.8119005
29	5044	2.8097554000000002
30	1734	2.8241338000000002
31	1705	2.8309865
32	5082	2.8200195
33	4474	2.8278491
34	1515	2.8201425
35	3034	2.8196438
36	5383	2.822558
37	1537	2.8232122
38	4754	2.8158594
39	4219	2.8147584
40	4929	2.811859
41	4996	2.8131866
42	4123	2.813698
43	3798	2.8115653
44	6276	2.8083106
45	5658	2.813024
46	2289	2.8131319
47	3161	2.8108184
48	5333	2.8254306
49	4703	2.8297213
50	4791	2.8267065000000002
51	2708	2.8319751
52	5078	2.8358939000000003
53	5249	2.8356605
54	3922	2.8322472000000003
55	1124	2.8275927000000003
56	5274	2.8344292
57	4966	2.8354094
58	5247	2.8277954000000003
59	1019	2.8283535
60	5368	2.8216372
61	1195	2.8239675
62	4742	2.8340191
63	3146	2.8320973
64	5209	2.8274739
65	5838	2.8297484
66	4252	2.8328483
67	2201	2.8160524000000002
68	5382	2.8314035
69	5285	2.829211
70	4891	2.8264568
71	2579	2.8316208
72	5616	2.8298585000000003
73	5604	2.827557
74	4610	2.8254253
75	2628	2.8379927
76	5446	2.8200919
77	4930	2.8313451
78	4306	2.8251977
79	3250	2.8234498
80	5255	2.8198844000000003
81	4821	2.8224769
82	4582	2.8174805000000003
83	3067	2.8145527
84	5671	2.8159231
85	3225	2.8091747
86	4933	2.8095036
87	1516	2.8325443
88	4885	2.8286028
89	5227	2.8283066
90	2643	2.8269023
91	2757	2.8192614000000003
92	5213	2.8301507
93	5802	2.8265342
94	894	2.8215302
95	2806	2.8205973
96	5602	2.8293259
97	5771	2.8275373
98	3237	2.8240463
99	3710	2.8240906
